=========== TABLE 1
| 0x0 | 0xe | BXOR BIT_MOD U24 UNSET NON TERM
| 0x0 | 0xf | BXOR BIT_MOD U24 UNSET NON TERM
| 0x1 | 0x0 | OR R_DIRECT U24 UNSET GR TERM
| 0x1 | 0x1 | OR R_DIRECT U24 UNSET GR TERM
| 0x1 | 0x2 | OR R_DIRECT U24 UNSET GR TERM
| 0x1 | 0x3 | OR R_DIRECT U24 UNSET GR TERM
| 0x1 | 0x4 | OR R_DIRECT U24 UNSET GR TERM
| 0x1 | 0x5 | OR R_DIRECT U24 UNSET GR TERM
| 0x1 | 0x6 | OR R_DIRECT U24 UNSET GR TERM
| 0x1 | 0x7 | OR R_DIRECT U24 UNSET GR TERM
| 0x1 | 0x8 | BOR BIT_MOD U24 UNSET NON TERM
| 0x1 | 0x9 | BOR BIT_MOD U24 UNSET NON TERM
| 0x1 | 0xa | BOR BIT_MOD U24 UNSET NON TERM
| 0x1 | 0xb | BOR BIT_MOD U24 UNSET NON TERM
| 0x1 | 0xc | BOR BIT_MOD U24 UNSET NON TERM
| 0x1 | 0xd | BOR BIT_MOD U24 UNSET NON TERM
| 0x1 | 0xe | BOR BIT_MOD U24 UNSET NON TERM
| 0x1 | 0xf | BOR BIT_MOD U24 UNSET NON TERM
| 0x2 | 0x0 | AND R_DIRECT U24 UNSET GR TERM
| 0x2 | 0x1 | AND R_DIRECT U24 UNSET GR TERM
| 0x2 | 0x2 | AND R_DIRECT U24 UNSET GR TERM
| 0x2 | 0x3 | AND R_DIRECT U24 UNSET GR TERM
| 0x2 | 0x4 | AND R_DIRECT U24 UNSET GR TERM
| 0x2 | 0x5 | AND R_DIRECT U24 UNSET GR TERM
| 0x2 | 0x6 | AND R_DIRECT U24 UNSET GR TERM
| 0x2 | 0x7 | AND R_DIRECT U24 UNSET GR TERM
| 0x2 | 0x8 | BAND BIT_MOD U24 UNSET NON TERM
| 0x2 | 0x9 | BAND BIT_MOD U24 UNSET NON TERM
| 0x2 | 0xa | BAND BIT_MOD U24 UNSET NON TERM
| 0x2 | 0xb | BAND BIT_MOD U24 UNSET NON TERM
| 0x2 | 0xc | BAND BIT_MOD U24 UNSET NON TERM
| 0x2 | 0xd | BAND BIT_MOD U24 UNSET NON TERM
| 0x2 | 0xe | BAND BIT_MOD U24 UNSET NON TERM
| 0x2 | 0xf | BAND BIT_MOD U24 UNSET NON TERM
| 0x3 | 0x0 | SUBX R_DIRECT U24 UNSET GR TERM
| 0x3 | 0x1 | SUBX R_DIRECT U24 UNSET GR TERM
| 0x3 | 0x2 | SUBX R_DIRECT U24 UNSET GR TERM
| 0x3 | 0x3 | SUBX R_DIRECT U24 UNSET GR TERM
| 0x3 | 0x4 | SUBX R_DIRECT U24 UNSET GR TERM
| 0x3 | 0x5 | SUBX R_DIRECT U24 UNSET GR TERM
| 0x3 | 0x6 | SUBX R_DIRECT U24 UNSET GR TERM
| 0x3 | 0x7 | SUBX R_DIRECT U24 UNSET GR TERM
| 0x3 | 0x8 | BNOT BIT_MOD U24 UNSET NON TERM
| 0x3 | 0x9 | BNOT BIT_MOD U24 UNSET NON TERM
| 0x3 | 0xa | BNOT BIT_MOD U24 UNSET NON TERM
| 0x3 | 0xb | BNOT BIT_MOD U24 UNSET NON TERM
| 0x3 | 0xc | BNOT BIT_MOD U24 UNSET NON TERM
| 0x3 | 0xd | BNOT BIT_MOD U24 UNSET NON TERM
| 0x3 | 0xe | BNOT BIT_MOD U24 UNSET NON TERM
| 0x3 | 0xf | BNOT BIT_MOD U24 UNSET NON TERM
| 0x4 | 0x0 | ADDX R_DIRECT U24 UNSET GR TERM
| 0x4 | 0x1 | ADDX R_DIRECT U24 UNSET GR TERM
| 0x4 | 0x2 | ADDX R_DIRECT U24 UNSET GR TERM
| 0x4 | 0x3 | ADDX R_DIRECT U24 UNSET GR TERM
| 0x4 | 0x4 | ADDX R_DIRECT U24 UNSET GR TERM
| 0x4 | 0x5 | ADDX R_DIRECT U24 UNSET GR TERM
| 0x4 | 0x6 | ADDX R_DIRECT U24 UNSET GR TERM
| 0x4 | 0x7 | ADDX R_DIRECT U24 UNSET GR TERM
| 0x4 | 0x8 | BSET BIT_MOD U24 UNSET NON TERM
| 0x4 | 0x9 | BSET BIT_MOD U24 UNSET NON TERM
| 0x4 | 0xa | BSET BIT_MOD U24 UNSET NON TERM
| 0x4 | 0xb | BSET BIT_MOD U24 UNSET NON TERM
| 0x4 | 0xc | BSET BIT_MOD U24 UNSET NON TERM
| 0x4 | 0xd | BSET BIT_MOD U24 UNSET NON TERM
| 0x4 | 0xe | BSET BIT_MOD U24 UNSET NON TERM
| 0x4 | 0xf | BSET BIT_MOD U24 UNSET NON TERM
| 0x5 | 0x0 | SUB R_DIRECT U24 UNSET GR TERM
| 0x5 | 0x1 | SUB R_DIRECT U24 UNSET GR TERM
| 0x5 | 0x2 | SUB R_DIRECT U24 UNSET GR TERM
| 0x5 | 0x3 | SUB R_DIRECT U24 UNSET GR TERM
| 0x5 | 0x4 | SUB R_DIRECT U24 UNSET GR TERM
| 0x5 | 0x5 | SUB R_DIRECT U24 UNSET GR TERM
| 0x5 | 0x6 | SUB R_DIRECT U24 UNSET GR TERM
| 0x5 | 0x7 | SUB R_DIRECT U24 UNSET GR TERM
| 0x5 | 0x8 | BCLR BIT_MOD U24 UNSET NON TERM
| 0x5 | 0x9 | BCLR BIT_MOD U24 UNSET NON TERM
| 0x5 | 0xa | BCLR BIT_MOD U24 UNSET NON TERM
| 0x5 | 0xb | BCLR BIT_MOD U24 UNSET NON TERM
| 0x5 | 0xc | BCLR BIT_MOD U24 UNSET NON TERM
| 0x5 | 0xd | BCLR BIT_MOD U24 UNSET NON TERM
| 0x5 | 0xe | BCLR BIT_MOD U24 UNSET NON TERM
| 0x5 | 0xf | BCLR BIT_MOD U24 UNSET NON TERM
| 0x6 | 0x0 | ADD R_DIRECT U24 UNSET GR TERM
| 0x6 | 0x1 | ADD R_DIRECT U24 UNSET GR TERM
| 0x6 | 0x2 | ADD R_DIRECT U24 UNSET GR TERM
| 0x6 | 0x3 | ADD R_DIRECT U24 UNSET GR TERM
| 0x6 | 0x4 | ADD R_DIRECT U24 UNSET GR TERM
| 0x6 | 0x5 | ADD R_DIRECT U24 UNSET GR TERM
| 0x6 | 0x6 | ADD R_DIRECT U24 UNSET GR TERM
| 0x6 | 0x7 | ADD R_DIRECT U24 UNSET GR TERM
| 0x6 | 0x8 | BLD BIT_MOD U24 UNSET NON TERM
| 0x6 | 0x9 | BLD BIT_MOD U24 UNSET NON TERM
| 0x6 | 0xa | BLD BIT_MOD U24 UNSET NON TERM
| 0x6 | 0xb | BLD BIT_MOD U24 UNSET NON TERM
| 0x6 | 0xc | BLD BIT_MOD U24 UNSET NON TERM
| 0x6 | 0xd | BLD BIT_MOD U24 UNSET NON TERM
| 0x6 | 0xe | BLD BIT_MOD U24 UNSET NON TERM
| 0x6 | 0xf | BLD BIT_MOD U24 UNSET NON TERM
| 0x7 | 0x0 | CMP R_DIRECT U24 UNSET GR TERM
| 0x7 | 0x1 | CMP R_DIRECT U24 UNSET GR TERM
| 0x7 | 0x2 | CMP R_DIRECT U24 UNSET GR TERM
| 0x7 | 0x3 | CMP R_DIRECT U24 UNSET GR TERM
